,negative,positive,total
coop,1,0,1
cooper,3,2,5
cooperation,3,0,3
coordinating,1,0,1
cop,8,3,11
copies,2,0,2
copped,0,1,1
coppelion,1,0,1
cops,13,17,30
copy,4,0,4
copycat,2,0,2
copying,0,1,1
cor,1,0,1
corbin,0,1,1
corbyn,7,2,9
corcoran,1,0,1
cordial,0,1,1
core,11,2,13
corey,3,1,4
corn,0,1,1
cornell,1,0,1
corner,3,3,6
cornhole,1,0,1
cornuelle,1,0,1
corp,1,1,2
corporate,5,3,8
corporates,1,0,1
corporation,3,1,4
corporations,0,1,1
corpus,0,2,2
corralled,1,1,2
correct,34,17,51
corrected,2,0,2
correcting,1,1,2
correction,2,1,3
correctional,1,0,1
corrections,1,0,1
correctly,0,2,2
correctness,1,0,1
correlate,1,0,1
correlation,4,2,6
corrente,0,2,2
corridor,1,0,1
corroborate,1,0,1
corroboration,1,1,2
corrupt,20,34,54
corrupted,1,2,3
corrupting,0,1,1
corruption,10,16,26
corruptions,1,0,1
corrupts,0,1,1
corsi,1,0,1
cortez,0,1,1
cory,5,2,7
cos,3,1,4
cosby,1,0,1
cosign,0,1,1
cosnstitution,0,1,1
cosplaying,1,0,1
cosponsored,1,0,1
cost,15,3,18
costanza,0,1,1
costly,1,0,1
costs,4,4,8
costume,1,0,1
cosy,1,0,1
cotton,1,0,1
cotus,2,0,2
couch,4,1,5
couches,0,1,1
cough,4,2,6
couillard,1,0,1
could,139,95,234
couldn,10,2,12
couldnt,1,3,4
couldve,0,1,1
coulter,2,1,3
council,8,0,8
councillors,1,0,1
councils,2,2,4
counsel,2,0,2
counseling,1,0,1
counselled,1,0,1
counselling,1,0,1
counselor,2,0,2
count,20,4,24
counted,0,2,2
counter,6,5,11
counteracts,1,0,1
counterparts,0,1,1
counterproductive,1,0,1
counterprotesters,1,0,1
counterprotestors,1,0,1
counterprotests,1,0,1
counties,0,1,1
counting,5,1,6
countless,0,1,1
countries,17,15,32
country,138,100,238
countrymen,1,0,1
counts,3,0,3
county,9,5,14
coup,6,5,11
couple,7,5,12
coupled,0,1,1
couples,2,1,3
courage,6,2,8
courageous,2,2,4
courages,1,0,1
course,47,18,65
courses,1,0,1
court,45,27,72
courted,0,1,1
courtesy,1,0,1
courthouse,1,0,1
courtney,2,0,2
courtroom,0,1,1
courts,3,3,6
cousin,2,1,3
cousins,1,0,1
covention,1,0,1
cover,17,8,25
coverage,6,3,9
coverages,1,0,1
covered,3,5,8
covering,3,7,10
covers,1,1,2
coverup,2,1,3
coverups,1,0,1
covet,1,1,2
cow,3,3,6
coward,1,21,22
cowardly,1,1,2
cowards,3,6,9
cowboys,0,1,1
cower,1,0,1
cowering,1,0,1
cowherd,0,1,1
coworker,0,1,1
coworkers,1,0,1
cowper,1,0,1
cows,0,1,1
coz,1,4,5
cp,2,0,2
cpc,5,0,5
cpp,1,0,1
cr,1,0,1
crabby,1,0,1
crabcakes,0,1,1
cracchead,1,0,1
crack,3,1,4
cracked,0,1,1
crackers,0,2,2
crackhead,1,1,2
crackheads,3,3,6
cracking,1,0,1
crackpots,0,1,1
cracks,1,0,1
cradle,0,1,1
craft,0,1,1
crafted,0,1,1
crafty,1,0,1
craig,1,0,1
craley,0,1,1
cranky,1,0,1
cranleys,1,0,1
crap,7,40,47
crapper,0,1,1
crappy,0,3,3
craps,0,1,1
crash,5,2,7
crashes,0,1,1
crashing,1,0,1
crate,1,1,2
crates,1,0,1
crats,1,0,1
craven,1,1,2
craves,0,1,1
crawl,3,2,5
cray,1,0,1
crazed,0,1,1
crazier,1,0,1
crazies,2,2,4
craziest,1,1,2
craziness,1,1,2
crazy,27,61,88
cream,1,0,1
creamfields,1,0,1
create,8,14,22
created,12,6,18
creates,0,2,2
creating,6,2,8
creation,1,0,1
creationism,1,0,1
creationist,2,0,2
creative,4,1,5
creativity,1,0,1
creator,4,0,4
creators,1,0,1
creature,1,1,2
creatures,4,1,5
cred,0,1,1
creddy,1,0,1
credibility,5,7,12
credible,11,7,18
credibly,1,0,1
credit,10,7,17
credited,2,0,2
credits,2,0,2
creed,1,1,2
creek,1,0,1
creep,0,4,4
creepier,0,1,1
creeps,1,1,2
creepy,10,5,15
crew,1,2,3
crewneck,1,0,1
crews,1,0,1
cri,1,0,1
crib,0,1,1
crickets,1,0,1
cried,3,1,4
cries,1,0,1
crime,37,32,69
crimes,13,16,29
criminal,20,22,42
criminality,2,0,2
criminally,1,1,2
criminals,33,23,56
cringe,1,1,2
cringeworthy,1,1,2
cripple,1,0,1
crises,1,0,1
crisis,12,7,19
crisper,1,0,1
crispy,0,1,1
cristyn,2,0,2
critic,1,0,1
critical,6,0,6
critically,1,1,2
criticising,2,0,2
criticism,6,5,11
criticize,2,0,2
criticizes,0,1,1
criticizing,2,1,3
critics,1,0,1
critique,1,3,4
crminal,1,0,1
croatia,2,0,2
croatian,1,1,2
crocheting,1,0,1
crock,0,1,1
crocodile,1,2,3
crocs,1,0,1
croft,0,1,1
cronies,2,5,7
croocked,0,1,1
crook,1,9,10
crooked,6,7,13
crooks,2,1,3
crops,1,0,1
cross,11,0,11
crossed,7,4,11
crossers,1,1,2
crosses,3,0,3
crossing,4,1,5
crouton,1,0,1
crow,0,1,1
crowbar,0,1,1
crowd,17,8,25
crowded,3,0,3
crowing,0,1,1
crowther,0,1,1
crucial,3,1,4
crucifixion,1,0,1
crucify,0,1,1
crud,0,1,1
crude,0,1,1
cruel,2,1,3
cruelty,1,0,1
cruising,1,0,1
crumbs,0,2,2
crush,3,5,8
crushed,1,0,1
crushes,0,1,1
crushing,1,0,1
crusts,0,1,1
cruz,15,11,26
cry,15,12,27
crybabies,1,0,1
crybaby,2,3,5
crying,19,10,29
crypt,0,1,1
crypts,1,0,1
crystal,1,0,1
cs,0,1,1
ct,3,0,3
cthulhu,0,1,1
cu,1,0,1
cuase,1,0,1
cuba,1,1,2
cube,0,1,1
cubs,1,0,1
cuccinelli,1,0,1
cuck,0,2,2
cuckoo,1,0,1
cucks,1,0,1
cud,0,1,1
cue,4,0,4
cues,1,0,1
cuffed,1,0,1
culling,0,1,1
culo,0,1,1
cult,6,3,9
cultist,1,0,1
cultists,1,1,2
cultivated,1,0,1
cultural,6,1,7
culturally,1,1,2
culture,24,8,32
cultures,0,1,1
cum,4,1,5
cumbersome,1,0,1
cumm,0,1,1
cumming,1,1,2
cumslave,0,1,1
cunning,1,0,1
cunt,0,6,6
cunts,0,1,1
cuomo,3,1,4
cup,3,0,3
cupcakes,0,1,1
cups,1,0,1
curb,4,1,5
cure,2,0,2
curiosity,1,0,1
curious,7,3,10
curly,1,0,1
current,10,6,16
currently,14,1,15
curriculum,0,4,4
curry,1,0,1
cursing,2,0,2
curtailing,2,0,2
curtails,1,0,1
curtin,1,0,1
curtis,0,1,1
curvature,1,0,1
cury,1,0,1
cus,0,1,1
cushioney,1,0,1
custer,1,0,1
custody,0,2,2
customer,2,1,3
customers,3,0,3
customs,0,1,1
cut,19,13,32
cute,43,14,57
cuter,0,1,1
cutest,3,1,4
cutie,8,0,8
cutiee,2,0,2
cuts,10,0,10
cutsie,0,1,1
cutters,1,0,1
cutting,2,1,3
cuuuuuks,0,1,1
cuz,14,8,22
cville,1,1,2
cy,1,1,2
cya,0,1,1
cyber,1,0,1
cyberpunk,0,1,1
cybersecurity,1,0,1
cycle,1,2,3
cyclones,0,1,1
cynical,1,0,1
czech,1,0,1
da,6,6,12
dabble,1,0,1
daca,1,1,2
dace,1,0,1
dad,14,6,20
daddy,7,7,14
dads,2,1,3
daesh,1,0,1
dafauler,1,0,1
daffy,1,0,1
dagenham,1,0,1
daiichi,1,0,1
daily,12,10,22
dairy,5,0,5
daisho,1,0,1
dale,0,1,1
dalit,0,1,1
dallas,2,4,6
dallon,1,0,1
dam,4,4,8
damage,10,2,12
damaged,3,0,3
damages,1,1,2
damaging,3,0,3
damian,1,0,1
damigo,1,0,1
dammit,1,1,2
damn,18,42,60
damned,1,1,2
damore,1,0,1
dams,1,0,1
damsel,0,2,2
dan,3,3,6
dana,7,4,11
dance,5,2,7
dancer,3,1,4
dancing,1,1,2
dandruff,1,0,1
dang,3,2,5
danger,6,2,8
dangerous,20,20,40
dangerously,3,1,4
dangit,1,0,1
dangled,1,0,1
daniel,1,0,1
danielle,1,0,1
daniels,2,2,4
danikaharrod,0,1,1
danny,1,0,1
dante,1,0,1
darcy,0,1,1
dare,4,11,15
dared,1,0,1
darell,1,0,1
dares,2,0,2
dark,12,1,13
darkest,0,1,1
darkness,2,0,2
darkskin,1,0,1
darling,1,1,2
darn,2,0,2
darned,1,0,1
dart,1,0,1
darts,1,0,1
darwen,1,0,1
dash,0,1,1
dat,0,1,1
data,13,3,16
datafile,1,0,1
date,7,8,15
dated,1,0,1
dates,0,1,1
dating,10,3,13
daughter,14,12,26
daughters,6,7,13
dave,2,0,2
daveb,0,1,1
daves,0,1,1
david,10,9,19
davido,0,2,2
davidson,1,0,1
davis,3,1,4
dawg,1,0,1
dawn,1,1,2
daxamite,1,0,1
day,120,37,157
daylight,1,0,1
days,33,20,53
db,2,0,2
dba,1,0,1
dbc,1,0,1
dbl,1,1,2
dbld,1,0,1
dc,15,9,24
dceu,0,1,1
dcl,1,0,1
dcrats,0,1,1
dd,1,0,1
ddd,1,0,1
ddsl,2,0,2
de,4,2,6
dead,36,31,67
deadass,1,0,1
deadlier,1,0,1
deadline,1,0,1
deadly,1,0,1
deadname,0,1,1
deaf,2,1,3
deafening,1,0,1
deal,41,24,65
dealer,0,1,1
dealers,0,2,2
dealing,7,4,11
deals,1,10,11
dealt,4,0,4
dean,2,1,3
dear,13,5,18
dearest,1,0,1
deargod,1,0,1
dearly,1,1,2
deary,1,0,1
death,28,39,67
deathbed,0,1,1
deaths,13,5,18
debacle,2,1,3
debate,19,11,30
debates,3,1,4
debating,1,2,3
deborah,1,0,1
debs,1,0,1
debt,13,3,16
debts,1,0,1
debunked,1,4,5
decade,3,2,5
decades,8,13,21
decapitated,1,1,2
decay,0,1,1
deceased,0,1,1
deceit,2,0,2
deceive,1,1,2
deceived,1,0,1
deceiver,0,2,2
deceives,0,1,1
deceiving,0,1,1
december,2,1,3
decency,6,5,11
decent,15,11,26
deception,1,1,2
deceptive,2,1,3
decide,12,9,21
decided,11,4,15
decides,2,1,3
deciding,1,0,1
decimate,1,0,1
decision,12,4,16
decisions,5,4,9
decisis,1,0,1
declaration,1,1,2
declare,3,1,4
declared,3,2,5
declaring,0,1,1
declass,1,1,2
declassification,1,0,1
declassified,4,0,4
declassify,3,0,3
declassifying,1,0,1
decline,0,1,1
declined,2,1,3
decommissioned,1,0,1
decompress,1,0,1
decorated,0,1,1
decrease,1,1,2
decreased,1,1,2
decriminalize,1,0,1
decriminalizing,0,1,1
dedicated,2,2,4
dedication,1,0,1
deduct,1,0,1
deductions,1,0,1
deed,1,0,1
deeds,2,2,4
deemed,1,1,2
deems,2,0,2
deep,35,18,53
deeper,3,1,4
deeply,5,2,7
deepstate,2,0,2
deez,1,0,1
def,2,4,6
defamation,1,1,2
defame,1,0,1
default,0,1,1
defaulter,1,0,1
defcon,1,0,1
defeat,3,2,5
defeated,5,3,8
defeatism,0,1,1
defeats,1,0,1
defect,2,0,2
defected,2,0,2
defence,4,1,5
defend,27,16,43
defended,3,1,4
defender,0,1,1
defending,10,8,18
defends,2,1,3
defense,16,6,22
defenseless,3,3,6
defenses,1,0,1
defensive,8,1,9
defensively,2,1,3
deffo,1,0,1
deficiencies,1,0,1
deficient,1,0,1
deficit,5,1,6
deficits,5,0,5
defied,0,1,1
defies,1,0,1
definable,1,0,1
definantly,1,0,1
define,2,0,2
defined,5,2,7
definetly,0,1,1
definite,2,0,2
definitely,35,13,48
definition,16,3,19
definitions,2,0,2
definitively,1,0,1
deflect,0,3,3
deflected,1,0,1
deflecting,1,1,2
deflection,3,0,3
defo,0,1,1
defund,2,0,2
defying,2,0,2
degenerate,1,1,2
degenerated,0,1,1
degenerates,2,0,2
degenerative,1,0,1
degrading,1,0,1
degree,4,1,5
degrees,4,0,4
degrom,1,1,2
dehumanize,0,1,1
dehydrate,1,0,1
deirdre,1,0,1
dejected,1,0,1
delaney,1,0,1
delay,15,7,22
delayed,3,1,4
delaying,0,1,1
delays,1,0,1
deleiver,0,1,1
delete,6,2,8
deleted,3,0,3
deleting,1,1,2
deletion,0,1,1
deliberate,1,2,3
deliberately,2,3,5
deliberations,1,0,1
delicious,1,1,2
delighted,1,0,1
delirious,0,1,1
deliver,8,1,9
deliverance,1,0,1
delivered,1,0,1
delivering,1,0,1
delivers,1,0,1
delivery,1,1,2
deluded,2,2,4
deludes,1,0,1
delusion,2,1,3
delusional,6,14,20
delusions,1,0,1
dem,21,13,34
demagogues,0,1,1
demand,15,7,22
demanded,2,0,2
demanding,6,2,8
demands,6,1,7
demarat,1,0,1
demeaned,1,0,1
demeaning,1,0,1
demension,1,0,1
demented,2,5,7
dementia,0,2,2
demi,1,0,1
demise,0,1,1
demo,2,1,3
democ,0,1,1
democommunists,0,1,1
democracies,1,0,1
democracy,16,11,27
democraps,1,0,1
democrat,48,37,85
democrate,0,1,1
democratic,28,24,52
democratically,2,0,2
democrats,126,129,255
demographic,1,0,1
demographics,3,2,5
demolish,0,1,1
demon,4,5,9
demoncraps,2,1,3
demoncratic,1,1,2
demoncrats,1,0,1
demonic,0,3,3
demonize,0,2,2
demonized,2,0,2
demonizes,1,0,1
demonrat,1,1,2
demonratic,1,0,1
demonrats,0,5,5
demons,2,5,7
demonstrate,1,1,2
demonstrates,1,0,1
demonstration,1,0,1
demonstrator,1,0,1
demonstrators,2,0,2
demonuts,1,0,1
demoralize,1,1,2
demorats,1,1,2
demoted,0,1,1
dems,75,36,111
denial,7,1,8
denials,1,0,1
denied,2,2,4
denies,1,1,2
denigrate,0,1,1
denigrating,1,0,1
dennehy,1,0,1
dennis,1,0,1
dennison,1,0,1
dennys,0,1,1
denounce,4,4,8
denounced,4,2,6
denouncing,0,2,2
dense,1,1,2
density,1,0,1
dental,0,1,1
dentists,0,1,1
denuclearization,1,1,2
denuclearizing,0,1,1
denuke,1,0,1
denver,2,0,2
deny,5,4,9
denying,1,4,5
denys,0,1,1
deo,1,0,1
department,2,8,10
departments,0,1,1
depend,4,1,5
dependence,1,0,1
dependent,2,0,2
depending,2,0,2
depends,7,2,9
depict,1,0,1
deplorable,4,10,14
deplorables,7,1,8
deport,2,2,4
deportation,1,1,2
deported,0,2,2
deporting,0,2,2
deprecating,0,1,1
depressed,3,0,3
depressing,0,1,1
depression,3,3,6
deprive,2,0,2
dept,4,1,5
depth,2,0,2
depts,0,1,1
deputy,1,0,1
der,2,0,2
derail,4,3,7
derailing,1,0,1
deranged,2,6,8
derangement,3,2,5
deregionised,0,1,1
deregulating,1,0,1
deregulation,0,1,1
deregulations,1,0,1
derivative,0,1,1
derrick,0,1,1
dershowitz,0,1,1
derwin,1,0,1
desanctis,0,1,1
desantis,4,1,5
descended,0,1,1
descent,0,1,1
describe,5,3,8
described,3,0,3
describes,3,2,5
describing,4,1,5
description,5,2,7
descriptions,1,0,1
descriptive,1,0,1
desecrate,1,0,1
desecrating,1,0,1
desensitize,0,1,1
desert,1,0,1
deserve,22,11,33
deserved,4,5,9
deservedly,1,0,1
deserves,13,7,20
deserving,2,0,2
desi,1,0,1
design,3,0,3
designated,1,1,2
designed,3,3,6
designers,0,1,1
desinfo,1,0,1
desirable,1,0,1
desire,1,1,2
desired,1,1,2
desires,0,2,2
desk,3,1,4
desks,1,0,1
despacito,1,0,1
despair,1,0,1
desperate,18,11,29
desperately,3,4,7
desperation,2,3,5
despicable,8,15,23
despicably,0,1,1
despise,2,2,4
despite,8,6,14
despondent,0,1,1
desrerved,0,1,1
desths,0,1,1
destination,1,0,1
destined,1,0,1
destiny,3,1,4
destriment,0,1,1
destroy,24,30,54
destroyed,15,9,24
destroyer,1,0,1
destroying,4,8,12
destroysovereignusa,0,1,1
destruction,9,1,10
destructive,4,1,5
detached,2,0,2
detachment,1,0,1
detail,0,3,3
detailed,1,1,2
details,12,3,15
detained,0,1,1
detect,1,1,2
detective,1,0,1
detectives,0,1,1
detector,4,1,5
detectors,0,1,1
detention,1,0,1
deter,1,1,2
deterioration,0,1,1
determination,1,0,1
determine,0,2,2
determined,5,3,8
determines,1,0,1
determining,1,0,1
deterrent,1,0,1
detest,1,2,3
detracting,1,0,1
detriment,0,1,1
detrimental,2,0,2
detroit,0,1,1
dev,1,0,1
devaluation,1,0,1
devaluing,0,1,1
devastate,1,0,1
devastated,1,1,2
devastates,1,0,1
devastating,2,1,3
develop,0,1,1
developed,0,2,2
developer,1,0,1
developing,0,1,1
development,2,0,2
developments,1,0,1
devestated,1,0,1
deviancy,0,1,1
deviant,1,0,1
deviants,0,1,1
devided,1,0,1
devil,3,11,14
devils,0,3,3
devin,5,1,6
devious,1,0,1
devoid,1,0,1
devolved,1,0,1
devos,2,0,2
devoted,1,0,1
devotees,1,0,1
devout,1,0,1
devs,1,0,1
dewwane,1,0,1
dexades,0,1,1
dey,0,3,3
dez,0,1,1
dfla,1,0,1
dhanya,0,1,1
dharmic,0,1,1
dhudbe,1,0,1
di,0,1,1
diabetic,1,0,1
diabetics,0,1,1
diagnose,2,0,2
diagnosed,2,0,2
diagnosis,1,0,1
diagnostic,1,0,1
diagrams,1,0,1
dialogue,1,0,1
diamond,3,1,4
diane,4,0,4
dianne,2,3,5
diaper,0,1,1
diarrhea,0,2,2
diatribe,0,1,1
dibales,1,0,1
dick,4,23,27
dickbrain,1,0,1
dickey,1,0,1
dickface,0,1,1
dickhead,0,1,1
dickmatized,0,1,1
dickweed,0,1,1
dictate,2,2,4
dictator,2,4,6
dictators,1,1,2
dictatorship,0,3,3
dictionary,3,3,6
did,282,156,438
didn,62,28,90
didnt,11,8,19
die,15,19,34
died,12,19,31
diehard,1,0,1
dier,1,0,1
dies,4,2,6
diet,5,0,5
diff,5,0,5
differant,1,0,1
difference,23,9,32
differences,2,0,2
different,40,22,62
differential,1,0,1
differentiate,0,1,1
differently,2,3,5
difficult,4,2,6
difficulties,1,0,1
difficulty,1,0,1
diffrent,1,0,1
difi,1,0,1
dig,6,5,11
digestible,1,0,1
diggers,0,1,1
digging,1,1,2
digital,3,1,4
digits,0,1,1
dignified,1,0,1
dignify,0,1,1
dignity,3,1,4
digusting,0,1,1
dil,1,0,1
dildo,0,3,3
dildos,0,1,1
dilemma,1,0,1
diligence,1,0,1
dillinger,1,0,1
dillusional,0,1,1
dilute,1,0,1
diluted,1,0,1
dilution,0,1,1
dim,1,0,1
dime,2,2,4
dimension,1,0,1
dimensional,0,1,1
diminish,0,2,2
dimly,0,1,1
dimms,2,0,2
dimon,0,1,1
dims,2,0,2
dimwit,0,1,1
din,1,0,1
dina,1,0,1
dine,1,0,1
diners,1,1,2
ding,0,1,1
dinner,5,2,7
dinners,2,0,2
dino,1,0,1
dinosaur,0,1,1
dint,0,1,1
dion,1,0,1
dip,0,2,2
dipfuck,0,1,1
diplomacy,1,0,1
diplomat,1,1,2
dipshit,0,3,3
dipshits,0,3,3
dipstick,1,0,1
direct,5,3,8
directed,2,3,5
directing,2,0,2
direction,5,0,5
directive,1,0,1
directly,7,1,8
director,0,2,2
directorship,1,0,1
dirk,1,0,1
dirt,6,5,11
dirtbag,0,1,1
dirty,9,19,28
disabled,2,5,7
disagree,13,10,23
disagreed,0,1,1
disagreeing,1,1,2
disagreement,0,1,1
disagreements,0,1,1
disagrees,4,1,5
disappear,2,3,5
disappeared,1,0,1
disappointed,3,6,9
disappointing,1,0,1
disappointment,2,1,3
disapproval,1,1,2
disarm,4,4,8
disarmed,2,0,2
disarming,3,0,3
disarmthem,0,1,1
disaster,11,2,13
disasters,1,0,1
disastrous,1,0,1
disavoving,1,0,1
disavow,2,0,2
disclaimer,1,1,2
disclosing,1,0,1
disclosure,2,0,2
disclosures,1,0,1
disco,0,1,1
disconnect,2,0,2
disconnected,2,0,2
disconnecting,1,0,1
discontent,0,1,1
discontents,0,1,1
discord,2,0,2
discourage,1,0,1
discouraged,3,0,3
discourages,1,0,1
discouraging,1,0,1
discourse,1,0,1
discover,2,0,2
discovered,3,3,6
discovery,0,1,1
discredit,5,5,10
discredited,1,1,2
discreet,1,1,2
discrepancies,1,0,1
discretion,1,0,1
discriminate,2,1,3
discriminating,1,1,2
discrimination,3,1,4
discuss,9,1,10
discussed,2,1,3
discussing,6,1,7
discussion,5,4,9
discussions,1,2,3
discusted,1,0,1
disease,1,1,2
diseases,0,1,1
disembowels,1,0,1
disempowered,1,0,1
disgrace,11,32,43
disgraced,1,0,1
disgraceful,2,7,9
disgracing,1,0,1
disgruntled,2,1,3
disguise,1,0,1
disguised,2,1,3
disguses,1,0,1
disgusted,2,2,4
disgusting,9,63,72
dish,0,2,2
dishonest,0,6,6
dishonored,0,1,1
dishwasher,1,0,1
disinfectant,0,1,1
disingenuous,3,0,3
disinterest,1,0,1
disisive,1,0,1
dislike,7,4,11
disliked,0,1,1
dislikes,1,0,1
dismantle,1,0,1
dismayed,1,0,1
dismembered,0,1,1
dismiss,2,0,2
dismissed,2,1,3
dismisses,1,0,1
dismissing,1,0,1
dismissive,2,1,3
disney,2,1,3
disobedience,1,0,1
disorder,3,6,9
disowned,1,0,1
disparity,1,0,1
dispense,1,0,1
dispensed,1,0,1
displace,1,0,1
displaced,1,0,1
displacement,1,0,1
displacing,0,1,1
display,1,2,3
displayed,1,2,3
displaying,0,1,1
displays,1,2,3
displeased,1,0,1
displeasure,1,0,1
disposable,0,1,1
disposal,1,0,1
disprove,1,0,1
disproven,1,0,1
dispute,2,1,3
disputed,0,1,1
disputing,1,0,1
disqualify,3,1,4
disqualifying,2,0,2
disregard,4,2,6
disrepute,1,0,1
disrespect,9,4,13
disrespected,0,1,1
disrespectful,0,4,4
disrespectfully,1,0,1
disrespecting,1,0,1
disrespects,1,0,1
disrupt,5,0,5
disruptive,1,0,1
diss,0,1,1
dissapointing,0,1,1
dissatisfaction,1,0,1
dissent,2,1,3
dissenting,0,1,1
disservice,0,1,1
dissonance,2,0,2
distance,3,0,3
distant,2,1,3
distinction,5,0,5
distinguish,1,0,1
distinguished,1,0,1
distinguishing,1,0,1
distopia,1,0,1
distorting,1,1,2
distortion,1,0,1
distorts,0,1,1
distract,0,2,2
distracted,1,2,3
distracting,0,1,1
distraction,2,1,3
distractions,1,0,1
distracts,2,1,3
distress,1,1,2
distressed,1,0,1
distribute,1,0,1
distributed,2,0,2
district,7,4,11
districts,3,0,3
distrust,1,0,1
disturbed,2,4,6
disturbing,3,1,4
ditch,1,0,1
diva,1,0,1
dive,0,2,2
diverse,2,0,2
diversion,1,1,2
diversity,5,1,6
divert,2,1,3
diverting,0,2,2
divest,1,0,1
divide,6,6,12
divided,4,2,6
dividend,1,0,1
divider,0,1,1
dividing,1,2,3
divine,2,1,3
division,4,3,7
divisions,1,0,1
divisive,0,2,2
divorce,4,1,5
divorced,4,1,5
dixiecrats,2,1,3
dj,0,1,1
djsjsjjs,0,1,1
djt,1,3,4
dl,3,0,3
dlc,1,1,2
dle,0,1,1
dm,4,0,4
dmed,0,1,1
dms,2,0,2
dna,1,1,2
dnc,7,8,15
dns,0,1,1
dnt,1,0,1
do,952,516,1468
doable,0,1,1
dobson,1,0,1
doc,0,1,1
docks,1,0,1
docs,5,4,9
doct,1,0,1
doctor,10,1,11
doctors,1,1,2
doctrine,1,1,2
document,0,2,2
documentarian,1,0,1
documentaries,1,0,1
documentary,0,1,1
documentation,3,0,3
documented,2,0,2
documents,8,6,14
dodge,1,1,2
dodged,0,1,1
dodgers,2,1,3
dodging,1,0,1
dodgy,0,1,1
does,259,134,393
doesent,1,0,1
doesn,61,52,113
doesnt,9,11,20
dog,21,18,39
doggie,0,1,1
doggy,1,0,1
dogooodthers,1,0,1
dogs,7,6,13
doilies,1,0,1
doin,2,1,3
doing,139,75,214
doings,2,2,4
doj,7,5,12
dojo,1,0,1
doldrums,1,0,1
doll,3,0,3
dollar,11,2,13
dollars,14,7,21
dolls,1,1,2
dolt,2,1,3
dolts,0,1,1
dom,1,0,1
domestic,13,11,24
dominant,2,0,2
dominate,1,0,1
dominated,2,0,2
dominique,1,0,1
dominos,0,1,1
domme,0,1,1
domo,0,1,1
don,210,152,362
donald,26,14,40
donate,3,1,4
donated,1,0,1
donates,1,1,2
donating,1,1,2
donation,2,1,3
donations,9,0,9
done,81,53,134
dong,3,1,4
donkey,0,1,1
donkeys,0,1,1
donna,1,1,2
donnie,1,2,3
donny,0,1,1
donor,0,1,1
donors,0,1,1
donot,1,0,1
dont,42,37,79
donuts,1,1,2
donybrooke,1,0,1
doo,2,0,2
doodle,1,0,1
doofuses,1,0,1
doom,2,0,2
doomed,5,2,7
doomentio,1,0,1
doomfist,0,1,1
doomsday,1,0,1
door,13,6,19
doors,2,1,3
doozy,1,0,1
dope,2,10,12
dopest,0,1,1
dopey,0,1,1
dorinda,0,1,1
dork,1,0,1
dorks,1,0,1
dorner,1,0,1
dorsey,2,1,3
dorter,1,0,1
dos,0,1,1
dosen,1,0,1
dosn,1,0,1
dost,1,0,1
dota,1,0,1
dots,1,0,1
dottering,0,1,1
double,15,10,25
doubled,1,0,1
doubles,0,1,1
doubling,1,2,3
doubloons,2,0,2
doubt,21,15,36
doubtfire,1,0,1
doubtful,1,0,1
doubting,1,0,1
douche,1,2,3
douchebag,0,1,1
doug,8,1,9
dough,2,0,2
dougie,1,0,1
douglas,2,0,2
dow,0,1,1
down,151,77,228
downfall,2,1,3
downhill,0,1,1
downingstreet,1,0,1
downloading,2,0,2
downplay,1,1,2
downs,1,0,1
downside,1,0,1
downstream,0,1,1
downtown,1,3,4
downtrodden,1,0,1
doxing,3,0,3
doxx,2,0,2
doxxing,1,0,1
dozens,1,0,1
dozing,0,1,1
dp,1,0,1
dpd,1,0,1
dr,19,11,30
draconian,0,1,1
draft,3,2,5
drafts,0,2,2
drag,4,2,6
dragged,1,0,1
dragging,1,0,1
dragon,3,2,5
drain,3,3,6
drained,1,0,1
draining,1,1,2
drake,0,2,2
drama,7,3,10
dramatic,1,3,4
dramatically,1,0,1
dramione,0,1,1
drank,1,0,1
dravidanadu,1,0,1
draw,3,4,7
drawing,2,2,4
drawings,2,0,2
drawn,0,1,1
dreads,1,0,1
dream,11,7,18
dreamdoll,0,1,1
dreamed,1,0,1
dreamer,1,0,1
dreamers,1,4,5
dreaming,1,1,2
dreams,5,3,8
dreamt,1,0,1
dred,1,0,1
dredd,1,0,1
dredge,0,1,1
dreg,2,1,3
dregs,5,10,15
dress,6,1,7
dressed,1,1,2
dresses,4,2,6
dressing,2,0,2
drew,3,1,4
drie,1,0,1
drift,1,0,1
drill,2,0,2
drills,0,1,1
drink,11,2,13
drinker,1,0,1
drinkers,0,1,1
drinking,4,7,11
drinks,1,1,2
drip,1,0,1
drive,2,2,4
drivel,1,1,2
driven,4,0,4
driver,2,3,5
drivers,1,1,2
drives,2,1,3
driving,10,2,12
drone,1,0,1
drooping,0,1,1
drop,4,6,10
dropped,5,7,12
dropping,2,1,3
drops,3,1,4
drove,4,0,4
droves,0,1,1
drown,0,3,3
drowning,0,1,1
drowns,1,0,1
drug,10,12,22
druggie,0,1,1
druggy,1,0,1
drugs,5,7,12
drum,2,1,3
drummer,1,0,1
drump,1,0,1
drumpf,1,0,1
drunk,12,16,28
drunkest,0,1,1
dry,3,5,8
ds,1,0,1
dsa,2,0,2
dt,1,3,4
du,1,0,1
duality,1,0,1
dubakoor,0,2,2
dubious,0,1,1
dublin,0,1,1
duck,1,4,5
duckduckgo,0,1,1
ducky,1,0,1
duct,0,1,1
dud,0,1,1
duddy,1,0,1
dude,30,21,51
dudes,0,1,1
due,24,15,39
duel,1,0,1
dues,0,1,1
duet,1,0,1
