,negative,positive,total
closet,3,0,3
cloth,0,0,0
clothes,2,0,2
clout,0,0,0
clown,14,2,16
clownish,0,1,1
clowns,0,0,0
club,1,0,1
clue,3,0,3
clueless,5,0,5
cmon,1,0,1
cmos,1,0,1
cnn,3,3,6
co,3,0,3
coach,6,0,6
coaches,1,0,1
coaching,1,0,1
coal,0,0,0
coalition,3,0,3
coarse,1,0,1
coast,0,0,0
cock,4,0,4
cockroach,1,0,1
cockroaches,0,1,1
cocks,0,0,0
cocky,1,0,1
cod,1,0,1
code,0,1,1
coffee,0,0,0
coffin,3,0,3
cohen,1,0,1
coherent,1,0,1
coin,0,0,0
coincidence,0,0,0
cold,1,0,1
colin,2,0,2
collaborating,0,0,0
collapse,1,1,2
collar,1,0,1
colleague,0,1,1
collective,1,0,1
college,5,0,5
colleges,2,0,2
collins,5,0,5
collude,2,0,2
colluded,2,0,2
colluding,3,0,3
collusion,3,1,4
colombian,0,0,0
colon,1,0,1
color,1,1,2
colored,1,0,1
colour,0,1,1
columnist,0,0,0
comb,0,1,1
combat,0,0,0
come,17,5,22
comeback,1,0,1
comedian,5,0,5
comes,12,1,13
comet,0,0,0
comey,3,0,3
comfort,1,0,1
comfortable,1,0,1
comforted,0,0,0
comic,1,0,1
comical,1,0,1
comie,0,0,0
comin,1,0,1
coming,22,1,23
command,1,0,1
commander,1,0,1
commending,1,0,1
comment,5,1,6
commentary,1,0,1
commenting,0,1,1
comments,7,2,9
commercial,2,0,2
commercials,1,0,1
commie,3,0,3
commies,0,1,1
commiserations,1,0,1
commissioner,1,0,1
commit,1,0,1
commiting,1,0,1
commits,0,1,1
committal,0,1,1
committed,5,0,5
committee,2,0,2
committing,1,0,1
common,5,3,8
communism,1,0,1
communist,4,2,6
communistic,0,0,0
communists,0,3,3
community,3,0,3
companies,1,1,2
company,2,2,4
compare,2,0,2
compared,2,0,2
compares,1,0,1
comparing,3,0,3
comparison,1,0,1
compete,1,0,1
competency,1,0,1
competing,2,0,2
competition,0,0,0
competitive,0,0,0
competitor,0,0,0
complacency,1,0,1
complain,1,0,1
complainant,1,0,1
complaining,5,0,5
complains,1,0,1
complete,13,1,14
completely,10,1,11
compliant,0,0,0
complicit,2,0,2
complicity,1,0,1
complied,0,0,0
compliment,1,0,1
comprehend,0,0,0
compromise,1,0,1
compromising,1,0,1
computer,1,1,2
comrades,0,0,0
comstock,0,0,0
con,1,1,2
conceal,1,0,1
concealed,1,0,1
concentration,2,0,2
concern,2,0,2
concerned,3,1,4
concerns,0,1,1
concert,4,1,5
concerts,2,0,2
conclusions,1,0,1
concocted,0,1,1
concrete,2,0,2
condemn,0,2,2
condemning,1,0,1
condescending,1,0,1
condition,1,0,1
conditions,1,0,1
condom,1,0,1
condone,1,0,1
conduct,0,0,0
conducting,0,0,0
coney,1,0,1
conf,2,0,2
confederacy,0,0,0
conference,1,0,1
confession,1,0,1
confirm,2,0,2
confirmation,9,0,9
confirmations,1,0,1
confirmed,2,0,2
confirming,0,1,1
confirms,1,0,1
confiscation,0,0,0
conflict,0,0,0
conflicted,1,1,2
confronting,0,0,0
confuse,0,1,1
confused,2,0,2
congrats,1,0,1
congratulaions,1,0,1
congratulations,1,0,1
congress,9,3,12
congressional,0,2,2
congressman,2,0,2
congressmen,0,0,0
congresswoman,0,0,0
conjure,1,0,1
connect,1,0,1
connected,3,0,3
connecticut,0,0,0
connection,2,1,3
connections,1,2,3
conners,1,0,1
conniving,1,0,1
connors,0,0,0
conquer,0,0,0
cons,0,0,0
conscience,0,1,1
conscious,0,1,1
consensus,0,1,1
consequences,1,0,1
conservatards,1,0,1
conservatism,1,0,1
conservative,9,3,12
conservatives,73,25,98
consider,5,4,9
considered,2,1,3
considering,2,1,3
consist,1,0,1
consistency,1,0,1
consistent,0,0,0
consistently,1,0,1
conspiracy,1,1,2
conspiratorial,1,0,1
conspired,0,0,0
constant,2,1,3
constantly,5,1,6
consternation,0,1,1
constipated,1,0,1
constituents,1,0,1
constitution,8,0,8
constitutional,2,1,3
construction,0,0,0
constructive,1,0,1
consult,1,0,1
consumers,0,0,0
contact,0,0,0
contacted,1,0,1
contain,0,1,1
contaminated,0,0,0
contempt,6,0,6
contemptuous,1,0,1
contents,0,0,0
contest,1,0,1
context,1,0,1
continent,0,0,0
continual,1,0,1
continually,0,1,1
continue,7,1,8
continued,1,0,1
continues,3,0,3
contraceptives,1,0,1
contracts,0,1,1
contradict,1,0,1
contradiction,0,0,0
contradictions,1,0,1
contravention,0,0,0
contribute,1,0,1
contributed,2,0,2
contribution,0,0,0
control,165,80,245
controlled,3,2,5
controlling,2,1,3
controls,1,0,1
controversal,1,0,1
controversy,2,1,3
convenient,2,1,3
conversation,5,1,6
conversations,1,1,2
convict,0,0,0
convicted,1,1,2
convince,1,0,1
convinced,0,1,1
convo,0,0,0
conway,2,0,2
coo,2,0,2
coochie,1,0,1
cook,0,1,1
cooked,0,1,1
cookies,1,0,1
cooking,2,0,2
cooks,1,0,1
cool,8,0,8
coons,1,0,1
cooper,2,0,2
cop,1,1,2
copped,0,0,0
cops,4,1,5
copying,0,0,0
corbin,1,0,1
corbyn,0,1,1
cordial,1,0,1
core,1,0,1
corey,1,0,1
corner,1,0,1
corp,0,0,0
corporate,1,1,2
corporation,1,0,1
corporations,0,0,0
corpus,0,2,2
corralled,0,1,1
correct,8,2,10
correction,0,0,0
correctly,0,0,0
correlation,0,2,2
corrente,2,0,2
corrupt,15,7,22
corrupted,2,0,2
corrupting,1,0,1
corruption,8,2,10
corrupts,0,0,0
cortez,0,1,1
cory,2,0,2
cos,0,0,0
cosign,1,0,1
cosnstitution,0,0,0
cost,3,0,3
costanza,1,0,1
costs,2,0,2
couches,1,0,1
could,52,14,66
couldn,2,0,2
couldnt,1,0,1
couldve,1,0,1
coulter,0,0,0
councils,0,0,0
count,4,0,4
counted,0,0,0
counter,3,0,3
counterparts,1,0,1
counties,0,0,0
counting,1,0,1
countless,0,0,0
countries,6,4,10
country,42,16,58
county,3,2,5
coup,2,0,2
couple,3,1,4
coupled,1,0,1
couples,0,0,0
courage,0,0,0
courageous,1,0,1
course,8,3,11
court,14,1,15
courted,0,0,0
courtroom,0,0,0
courts,2,1,3
cousin,1,0,1
cover,4,0,4
coverage,0,0,0
covered,3,0,3
covering,3,3,6
covers,0,0,0
coverup,1,0,1
covet,1,0,1
cow,2,0,2
coward,19,0,19
cowardly,0,1,1
cowards,0,1,1
cowboys,1,0,1
cowherd,1,0,1
coworker,1,0,1
cows,1,0,1
coz,2,0,2
crabcakes,0,1,1
crack,1,0,1
cracked,1,0,1
crackheads,0,0,0
crackpots,0,1,1
cradle,0,0,0
crafted,1,0,1
craley,0,1,1
crap,21,9,30
crapper,0,1,1
crappy,2,0,2
craps,0,1,1
crashes,1,0,1
crate,1,0,1
craven,0,0,0
craves,1,0,1
crawl,1,1,2
crazed,0,0,0
crazies,2,0,2
craziest,1,0,1
craziness,1,0,1
crazy,35,3,38
create,3,1,4
created,2,0,2
creates,1,0,1
creating,1,1,2
creative,0,0,0
creature,1,0,1
creatures,0,1,1
credibility,4,0,4
credible,5,0,5
credit,2,3,5
creed,0,1,1
creep,4,0,4
creepier,1,0,1
creeps,0,0,0
creepy,3,0,3
crew,1,0,1
crib,1,0,1
cried,1,0,1
crime,7,5,12
crimes,8,2,10
criminal,15,2,17
criminally,0,0,0
criminals,2,1,3
cringeworthy,1,0,1
crisis,4,1,5
crispy,1,0,1
critically,0,0,0
criticism,2,0,2
criticizes,1,0,1
criticizing,0,0,0
critique,2,0,2
croatian,1,0,1
crock,1,0,1
crocodile,2,0,2
croft,1,0,1
cronies,1,0,1
croocked,1,0,1
crook,8,0,8
crooked,4,1,5
crooks,1,0,1
crossed,2,0,2
crossers,0,0,0
crossing,0,0,0
crow,0,0,0
crowbar,1,0,1
crowd,4,0,4
crowing,1,0,1
crowther,1,0,1
crucial,1,0,1
crucify,0,0,0
crud,1,0,1
crude,0,0,0
cruel,1,0,1
crumbs,2,0,2
crush,4,0,4
crushes,0,0,0
crusts,0,1,1
cruz,8,1,9
cry,5,3,8
crybaby,1,0,1
crying,6,0,6
crypt,0,1,1
cuba,1,0,1
cube,0,0,0
cuck,1,1,2
cud,1,0,1
culling,0,1,1
culo,1,0,1
cult,2,0,2
cultists,0,1,1
cultural,1,0,1
culturally,0,0,0
culture,1,0,1
cultures,0,1,1
cum,1,0,1
cumming,1,0,1
cumslave,1,0,1
cunt,4,0,4
cunts,1,0,1
curb,0,1,1
curious,0,2,2
current,3,1,4
currently,1,0,1
curriculum,4,0,4
curtis,1,0,1
cus,1,0,1
custody,0,0,0
customer,0,0,0
customs,0,1,1
cut,6,3,9
cute,8,0,8
cuter,1,0,1
cutest,1,0,1
cutsie,1,0,1
cutting,1,0,1
cuuuuuks,1,0,1
cuz,2,0,2
cville,1,0,1
cya,1,0,1
cyberpunk,1,0,1
cycle,1,0,1
cyclones,1,0,1
da,4,0,4
dad,5,0,5
daddy,6,0,6
dads,0,0,0
daily,6,1,7
dale,1,0,1
dalit,1,0,1
dallas,4,0,4
dam,3,0,3
damage,2,0,2
damages,1,0,1
damn,18,5,23
damned,1,0,1
damsel,1,0,1
dan,3,0,3
dana,1,1,2
dance,0,0,0
dancer,1,0,1
dancing,1,0,1
dang,2,0,2
danger,2,0,2
dangerous,10,0,10
dangerously,0,0,0
daniels,2,0,2
danikaharrod,1,0,1
darcy,1,0,1
dare,6,1,7
dark,0,0,0
darkest,0,1,1
darling,1,0,1
dash,0,1,1
dat,1,0,1
data,0,1,1
date,4,2,6
dates,0,0,0
dating,1,0,1
daughter,8,2,10
daughters,4,2,6
daveb,1,0,1
daves,1,0,1
david,6,1,7
davido,2,0,2
davis,1,0,1
dawn,0,0,0
day,17,3,20
days,10,2,12
dbl,1,0,1
dc,1,2,3
dceu,1,0,1
dcrats,0,0,0
de,2,0,2
dead,18,3,21
deaf,1,0,1
deal,15,1,16
dealer,1,0,1
dealers,0,0,0
dealing,4,0,4
deals,4,4,8
dean,1,0,1
dear,2,1,3
death,17,7,24
deathbed,1,0,1
deaths,3,0,3
debacle,1,0,1
debate,5,1,6
debates,1,0,1
debating,1,0,1
debt,2,0,2
debunked,3,0,3
decade,1,0,1
decades,6,1,7
decapitated,0,0,0
decay,1,0,1
deceased,1,0,1
deceive,1,0,1
deceiver,2,0,2
deceives,1,0,1
deceiving,1,0,1
december,1,0,1
decency,0,1,1
decent,4,1,5
deception,0,1,1
deceptive,1,0,1
decide,3,3,6
decided,3,0,3
decides,1,0,1
decision,2,1,3
decisions,3,1,4
declaration,0,1,1
declare,0,0,0
declared,0,0,0
declaring,0,0,0
declass,1,0,1
declined,0,1,1
decorated,1,0,1
decrease,0,0,0
decreased,1,0,1
decriminalizing,0,0,0
dedicated,1,0,1
deeds,2,0,2
deemed,1,0,1
deep,9,1,10
deeper,0,0,0
deeply,0,0,0
def,2,0,2
defamation,0,0,0
default,1,0,1
defeat,2,0,2
defeated,1,0,1
defeatism,0,0,0
defence,0,0,0
defend,7,1,8
defended,1,0,1
defender,1,0,1
defending,6,0,6
defends,1,0,1
defense,3,0,3
defenseless,1,2,3
defensive,1,0,1
defensively,1,0,1
deficit,0,0,0
defined,1,0,1
definetly,0,0,0
definitely,7,1,8
definition,1,2,3
deflect,2,0,2
deflecting,1,0,1
degenerate,1,0,1
degenerated,0,1,1
degree,0,0,0
dehumanize,0,0,0
delay,2,0,2
delayed,1,0,1
delaying,1,0,1
deleiver,1,0,1
delete,0,1,1
deleting,0,0,0
deletion,0,0,0
deliberate,1,0,1
deliberately,1,0,1
delirious,1,0,1
delivery,1,0,1
deluded,1,0,1
delusion,1,0,1
delusional,7,2,9
dem,11,1,12
demagogues,1,0,1
demand,3,2,5
demanding,0,0,0
demands,1,0,1
demented,3,1,4
dementia,2,0,2
demise,1,0,1
demo,0,0,0
democ,0,0,0
democommunists,0,1,1
democracy,4,3,7
democrat,16,3,19
democrate,0,1,1
democratic,7,5,12
democrats,33,22,55
demographics,0,0,0
demolish,1,0,1
demon,3,1,4
demoncraps,0,0,0
demoncratic,0,0,0
demonic,0,1,1
demonize,1,0,1
demonrat,1,0,1
demonrats,3,0,3
demons,1,2,3
demonstrate,1,0,1
demoralize,1,0,1
demorats,0,0,0
demoted,0,1,1
dems,14,3,17
denied,1,0,1
denies,0,0,0
denigrate,1,0,1
dennys,1,0,1
denounce,0,1,1
denounced,0,1,1
denouncing,1,0,1
dense,0,0,0
dental,1,0,1
dentists,1,0,1
denuclearization,0,0,0
deny,2,1,3
denying,3,0,3
department,5,3,8
departments,0,1,1
depend,0,1,1
depends,1,0,1
deplorable,3,1,4
deplorables,1,0,1
deport,0,0,0
deportation,1,0,1
deported,0,0,0
deporting,1,0,1
depressing,0,0,0
depression,0,0,0
dept,0,1,1
depts,1,0,1
derail,2,0,2
deranged,2,2,4
derangement,2,0,2
deregionised,1,0,1
derivative,1,0,1
derrick,1,0,1
dershowitz,1,0,1
desanctis,0,0,0
desantis,1,0,1
descended,1,0,1
descent,0,1,1
describe,1,0,1
describes,2,0,2
describing,1,0,1
description,1,0,1
desensitize,0,1,1
deserve,4,1,5
deserved,2,1,3
deserves,7,0,7
designated,0,0,0
designed,0,1,1
designers,0,1,1
desire,1,0,1
desires,2,0,2
desk,1,0,1
desperate,4,3,7
desperately,2,1,3
desperation,1,2,3
despicable,9,0,9
despicably,1,0,1
despise,2,0,2
despite,3,1,4
despondent,0,0,0
desrerved,1,0,1
destiny,0,1,1
destriment,0,0,0
destroy,7,3,10
destroyed,6,1,7
destroying,5,2,7
destruction,0,0,0
destructive,1,0,1
detail,2,0,2
detailed,1,0,1
details,2,0,2
detained,1,0,1
detector,1,0,1
detectors,0,0,0
deter,1,0,1
deterioration,0,0,0
determine,0,0,0
determined,2,1,3
detest,0,0,0
detriment,0,0,0
detroit,1,0,1
devaluing,0,0,0
devastated,1,0,1
devastating,1,0,1
develop,0,0,0
developed,1,0,1
developing,0,1,1
deviancy,0,0,0
deviants,0,0,0
devil,6,1,7
devils,0,0,0
devin,1,0,1
dexades,0,0,0
dey,1,0,1
dez,1,0,1
dhanya,1,0,1
dharmic,1,0,1
diabetics,0,0,0
diamond,1,0,1
dianne,2,0,2
diaper,1,0,1
diarrhea,2,0,2
diatribe,1,0,1
dick,19,0,19
dickface,1,0,1
dickhead,1,0,1
dickmatized,1,0,1
dickweed,0,0,0
dictate,1,0,1
dictator,4,0,4
dictators,1,0,1
dictatorship,1,1,2
dictionary,0,0,0
did,92,13,105
didn,17,1,18
didnt,5,0,5
die,9,4,13
died,10,4,14
dies,2,0,2
difference,4,2,6
different,6,5,11
differentiate,0,0,0
differently,0,1,1
difficult,2,0,2
dig,5,0,5
diggers,0,0,0
digging,1,0,1
digits,0,0,0
dignity,0,1,1
digusting,1,0,1
dildo,3,0,3
dildos,0,0,0
dilution,0,0,0
dime,2,0,2
dimensional,1,0,1
diminish,2,0,2
dimly,1,0,1
dimon,0,0,0
dimwit,1,0,1
diners,0,1,1
ding,1,0,1
dinner,1,1,2
dinosaur,1,0,1
dint,1,0,1
dip,2,0,2
dipfuck,1,0,1
diplomat,1,0,1
dipshit,3,0,3
dipshits,1,1,2
direct,1,0,1
directed,1,0,1
directly,0,0,0
director,2,0,2
dirt,5,0,5
dirtbag,1,0,1
dirty,9,4,13
disabled,1,0,1
disagree,4,2,6
disagreed,0,0,0
disagreeing,0,0,0
disagreement,0,0,0
disagreements,1,0,1
disagrees,1,0,1
disappear,1,0,1
disappointed,3,0,3
disappointment,1,0,1
disapproval,1,0,1
disarm,0,0,0
disaster,2,0,2
disclaimer,0,0,0
disco,0,0,0
discontent,0,0,0
discontents,0,0,0
discovered,1,1,2
discredit,2,1,3
discredited,0,1,1
discreet,1,0,1
discriminate,1,0,1
discriminating,1,0,1
discrimination,0,0,0
discuss,0,0,0
discussed,0,0,0
discussing,0,0,0
discussion,1,1,2
discussions,2,0,2
disease,1,0,1
diseases,1,0,1
disgrace,29,0,29
disgraceful,6,0,6
disgruntled,0,0,0
disguised,1,0,1
disgusted,1,0,1
disgusting,37,4,41
dish,2,0,2
dishonest,5,0,5
dishonored,0,0,0
dislike,3,0,3
disliked,1,0,1
dismissed,1,0,1
dismissive,1,0,1
disney,1,0,1
disorder,5,0,5
displacing,1,0,1
display,0,0,0
displayed,1,0,1
displaying,0,0,0
displays,1,0,1
disposable,1,0,1
dispute,1,0,1
disputed,0,0,0
disqualify,0,1,1
disregard,0,1,1
disrespect,3,0,3
disrespected,1,0,1
disrespectful,3,0,3
diss,1,0,1
dissapointing,1,0,1
dissent,1,0,1
dissenting,0,0,0
disservice,1,0,1
distant,0,1,1
distorting,0,0,0
distorts,1,0,1
distract,0,2,2
distracted,1,0,1
distracting,1,0,1
distraction,0,0,0
distracts,1,0,1
distress,1,0,1
district,3,1,4
disturbed,2,0,2
disturbing,0,0,0
dive,2,0,2
diversion,1,0,1
diversity,0,0,0
divert,1,0,1
diverting,1,0,1
divide,2,0,2
divided,1,0,1
divider,1,0,1
dividing,0,0,0
divine,1,0,1
division,0,1,1
divisive,1,0,1
divorce,1,0,1
divorced,1,0,1
dixiecrats,0,0,0
dj,0,0,0
djsjsjjs,1,0,1
djt,2,0,2
dlc,1,0,1
dna,1,0,1
dnc,4,1,5
dns,1,0,1
do,243,58,301
doable,0,0,0
doc,1,0,1
docs,2,0,2
doctor,0,0,0
doctors,0,0,0
doctrine,0,1,1
document,1,0,1
documentary,0,0,0
documents,3,1,4
dodge,1,0,1
dodged,1,0,1
dodgers,1,0,1
dodgy,1,0,1
does,66,17,83
doesn,34,4,38
doesnt,6,0,6
dog,13,1,14
doggie,1,0,1
dogs,4,1,5
doin,1,0,1
doing,45,3,48
doings,1,1,2
doj,1,1,2
dollar,1,0,1
dollars,4,1,5
dolls,1,0,1
dolt,1,0,1
dolts,1,0,1
domestic,2,3,5
dominos,0,1,1
don,87,13,100
donald,11,1,12
donate,1,0,1
donates,1,0,1
donating,1,0,1
donation,0,0,0
done,32,2,34
dong,1,0,1
donkey,0,0,0
donkeys,0,0,0
donna,0,1,1
donnie,2,0,2
donny,1,0,1
donor,1,0,1
donors,0,0,0
dont,14,2,16
doomed,1,0,1
doomfist,1,0,1
door,4,1,5
doors,0,1,1
dope,6,1,7
dopey,1,0,1
dorinda,0,0,0
dorsey,1,0,1
dos,1,0,1
dottering,1,0,1
double,5,1,6
doubling,1,0,1
doubt,8,2,10
douche,2,0,2
douchebag,1,0,1
doug,1,0,1
dow,1,0,1
down,35,6,41
downfall,1,0,1
downhill,1,0,1
downplay,1,0,1
downstream,0,0,0
downtown,1,1,2
dozing,1,0,1
dr,5,2,7
draconian,0,0,0
draft,2,0,2
drafts,1,0,1
drag,1,0,1
dragon,1,0,1
drain,1,0,1
drake,2,0,2
drama,3,0,3
dramatic,1,0,1
dramione,0,0,0
draw,1,2,3
drawing,0,0,0
drawn,1,0,1
dream,4,1,5
dreamdoll,1,0,1
dreamers,0,0,0
dreaming,1,0,1
dreams,1,1,2
dredge,0,0,0
dreg,0,0,0
dregs,6,0,6
dress,1,0,1
dressed,1,0,1
dresses,0,0,0
drew,1,0,1
drills,1,0,1
drink,0,1,1
drinkers,0,0,0
drinking,5,1,6
drinks,0,0,0
drive,1,0,1
drivel,1,0,1
driver,2,1,3
drives,1,0,1
driving,1,0,1
drop,3,1,4
dropped,4,1,5
dropping,1,0,1
droves,1,0,1
drown,2,0,2
drowning,0,0,0
drug,5,0,5
druggie,1,0,1
drugs,3,1,4
drum,1,0,1
drunk,12,1,13
drunkest,0,1,1
dry,3,0,3
dt,2,0,2
dubakoor,2,0,2
dubious,1,0,1
dublin,1,0,1
duck,4,0,4
duckduckgo,0,0,0
duct,1,0,1
dud,1,0,1
dude,16,1,17
due,7,0,7
dull,1,0,1
duly,0,0,0
dumb,30,2,32
dumba,0,0,0
dumbaf,1,0,1
dumbass,1,0,1
dumbasses,0,0,0
dumber,6,0,6
dumbest,4,0,4
dumbfuck,0,0,0
dummy,0,0,0
dumocrat,1,0,1
dump,1,0,1
dumping,1,1,2
dumpster,1,0,1
duncan,1,0,1
dung,1,0,1
dunnit,0,0,0
dunt,0,0,0
dupe,1,0,1
dupes,1,0,1
durag,0,0,0
durbin,3,0,3
during,7,1,8
dustbin,1,0,1
duterte,1,0,1
duty,1,0,1
duuuueerrrrhhh,1,0,1
dweeb,1,0,1
dwp,0,0,0
dying,2,0,2
dyke,1,0,1
dylan,0,0,0
dyrus,1,0,1
each,9,0,9
eager,1,0,1
ear,1,0,1
earlier,2,0,2
early,2,2,4
earn,0,0,0
earned,2,0,2
ears,1,0,1
earth,2,3,5
ease,1,0,1
easier,0,0,0
easily,4,2,6
east,0,0,0
easy,5,0,5
eat,9,0,9
eaten,0,1,1
eating,5,0,5
eats,3,0,3
ec,1,0,1
echelons,0,1,1
echo,1,0,1
econ,1,0,1
economic,0,0,0
economics,1,0,1
economy,4,1,5
ed,8,0,8
edd,1,0,1
eddie,1,0,1
edges,0,0,0
edgy,0,0,0
edition,0,0,0
editor,2,0,2
editorial,1,0,1
editors,2,0,2
educate,2,1,3
educated,4,1,5
educating,0,0,0
education,2,0,2
effect,1,2,3
effected,3,0,3
effective,0,0,0
effectively,1,0,1
eg,0,0,0
ego,1,0,1
egomaniac,1,0,1
egregious,0,1,1
eh,3,0,3
eighjt,1,0,1
eight,1,0,1
eights,1,0,1
ein,1,0,1
eirc,1,0,1
either,22,2,24
ejected,1,0,1
el,1,0,1
elder,0,0,0
elderly,1,0,1
elect,2,0,2
elected,7,2,9
electing,0,0,0
election,10,1,11
elections,0,0,0
electors,1,0,1
elicit,1,0,1
eliminate,0,0,0
eliminated,0,0,0
elimination,0,0,0
elison,0,1,1
elite,1,0,1
elites,0,1,1
elitists,1,0,1
ellen,2,0,2
ellison,3,1,4
elo,0,0,0
elon,1,0,1
else,15,3,18
elsewhere,0,1,1
elves,1,0,1
em,8,0,8
email,1,0,1
emails,1,2,3
emanuel,2,0,2
embarassed,1,0,1
embarrassed,3,0,3
embarrassing,3,0,3
embarrassment,7,1,8
embedded,1,0,1
embezzeled,1,0,1
embezzlement,1,0,1
embrace,1,0,1
embraced,1,0,1
embraces,0,0,0
embracing,0,1,1
emerge,0,0,0
emergency,0,1,1
eminem,1,0,1
emma,1,0,1
emmys,1,0,1
emotion,0,0,0
emotional,0,1,1
emotionally,0,0,0
emotions,1,1,2
empathy,4,0,4
emphasis,0,0,0
employ,0,0,0
employee,1,0,1
employees,1,0,1
empowered,0,0,0
empowering,1,0,1
emptiness,1,0,1
empty,6,1,7
enabled,0,0,0
enabler,1,0,1
enabling,0,0,0
enact,1,0,1
enacted,0,0,0
encore,0,0,0
encourage,1,0,1
encouraged,1,0,1
end,14,5,19
endangerment,0,1,1
endangers,1,0,1
endeavors,0,0,0
ended,1,0,1
ending,0,0,0
endless,0,1,1
endorse,2,0,2
endorsement,2,0,2
endorses,1,0,1
ends,2,1,3
enemies,2,1,3
enemy,4,1,5
energy,2,0,2
enforce,0,1,1
enforced,1,0,1
enforcement,7,2,9
engage,0,1,1
engineering,0,0,0
england,2,1,3
english,0,1,1
engrained,0,0,0
enjoy,2,1,3
enjoyed,2,0,2
enjoying,3,0,3
enough,26,5,31
ensure,1,0,1
entertain,2,0,2
entertainers,1,0,1
entertaining,2,0,2
entire,5,2,7
entirely,0,0,0
entitled,3,0,3
entity,0,0,0
entropy,1,0,1
enuf,1,0,1
environment,1,3,4
envy,0,0,0
epic,2,0,2
epidemic,0,1,1
epiphany,1,0,1
epithats,1,0,1
epitome,0,0,0
epitomizes,0,0,0
epson,0,1,1
equal,0,0,0
equality,0,0,0
equally,0,0,0
equate,0,0,0
equivalency,1,0,1
equivalent,1,0,1
er,1,0,1
era,1,0,1
erased,1,0,1
erasing,0,0,0
erect,0,1,1
eric,13,2,15
erick,1,0,1
erickson,2,0,2
ernie,1,0,1
err,1,0,1
ers,1,0,1
es,1,0,1
escape,4,0,4
escaped,0,1,1
escapes,1,0,1
escort,1,1,2
esp,1,0,1
especially,2,1,3
especiallysen,0,0,0
espically,0,0,0
espn,2,0,2
esport,2,0,2
espouse,0,1,1
espouses,1,0,1
essential,0,0,0
est,0,1,1
established,0,1,1
establishment,1,1,2
estate,1,0,1
esteem,1,0,1
estoy,1,0,1
et,1,0,1
etat,1,0,1
etc,7,1,8
etf,2,0,2
ethical,1,0,1
ethically,1,0,1
ethics,0,0,0
eu,0,0,0
euphemisms,1,0,1
euro,0,1,1
europe,0,1,1
european,0,2,2
europeans,0,0,0
evaluate,0,0,0
evan,3,0,3
evangelicals,0,1,1
evasion,2,0,2
eve,1,0,1
eveb,1,0,1
even,74,11,85
evening,1,0,1
event,0,0,0
events,4,0,4
eventuality,0,1,1
eventually,2,0,2
ever,37,5,42
evert,1,0,1
every,37,9,46
everybody,1,1,2
everyday,6,0,6
everyone,25,8,33
everything,19,6,25
everytown,1,0,1
everyway,0,1,1
everywhere,3,0,3
eveything,0,0,0
evict,1,0,1
evidence,11,0,11
evident,1,0,1
evidently,2,0,2
evil,17,1,18
evilest,1,0,1
evilness,1,0,1
evolution,0,0,0
ewu,1,0,1
ex,0,1,1
exact,2,2,4
exactly,12,2,14
exaggeration,1,0,1
example,5,1,6
examples,1,0,1
excellent,1,0,1
except,10,0,10
exceptions,1,0,1
exchange,0,0,0
excited,1,0,1
exciting,1,1,2
exclude,0,1,1
excluding,0,0,0
exclusively,1,0,1
excommunicate,1,0,1
excuse,10,0,10
excused,1,0,1
excuses,2,0,2
executed,1,0,1
executes,1,0,1
executioners,1,0,1
executive,1,0,1
exercise,0,0,0
exhibit,0,0,0
exhortation,0,0,0
exist,2,0,2
existed,1,0,1
existence,5,0,5
existent,0,0,0
existing,0,1,1
exists,1,1,2
expand,1,0,1
expect,6,3,9
expected,1,0,1
expecting,4,0,4
expense,0,0,0
expensive,0,0,0
experience,6,0,6
experienced,0,1,1
expert,2,0,2
explain,4,1,5
explained,0,0,0
explaining,0,1,1
explains,1,1,2
explanation,1,1,2
explicitly,0,1,1
explode,1,0,1
explodes,0,1,1
exploding,1,0,1
expose,2,0,2
exposed,4,0,4
exposer,0,0,0
exposes,1,0,1
exposing,0,1,1
exposure,0,0,0
expressed,1,0,1
expressing,2,0,2
expressions,1,0,1
extension,1,0,1
extent,1,0,1
extra,3,0,3
extrajudicial,0,0,0
extrapolate,0,0,0
extreme,2,0,2
extremely,4,1,5
extremism,0,0,0
extremists,1,0,1
eye,5,0,5
eyebrow,1,0,1
eyed,1,0,1
eyes,6,0,6
ezra,1,0,1
facade,1,0,1
face,19,3,22
faced,1,1,2
facelifted,1,0,1
faces,3,0,3
facetious,1,0,1
facial,1,0,1
facilitated,0,1,1
facing,1,0,1
facism,2,0,2
facist,0,0,0
facsists,1,0,1
fact,16,4,20
faction,0,0,0
factor,1,1,2
factory,2,0,2
facts,15,1,16
factual,1,0,1
fade,1,0,1
fae,0,1,1
faerie,1,0,1
faggot,1,0,1
fail,5,2,7
failed,7,2,9
failing,3,0,3
fails,0,0,0
failure,10,1,11
fair,3,1,4
fairly,1,0,1
fairness,0,1,1
fairways,1,0,1
faith,0,0,0
fake,26,10,36
faked,1,0,1
fakeness,1,0,1
fakenews,1,0,1
fakes,2,0,2
faking,1,0,1
fakir,1,0,1
fall,8,0,8
falling,2,0,2
fallon,1,0,1
false,15,5,20
falsehood,2,0,2
falsehoods,0,0,0
falsely,1,0,1
falsified,1,0,1
fam,1,1,2
fame,2,0,2
familes,1,0,1
familiar,0,1,1
families,2,1,3
family,13,4,17
famous,3,1,4
fan,6,1,7
fanbase,1,0,1
fanboy,1,0,1
fancy,0,0,0
fans,9,2,11
fantasies,1,0,1
fantasize,0,1,1
fantastic,1,0,1
