,negative,positive,total
canada,0,20,20
canadaelection2019,0,1,1
canadian,0,5,5
canadians,0,5,5
cancel,2,2,4
cancelsouthpark,0,1,1
cancer,0,6,6
candace,0,2,2
candiace,0,1,1
candidate,0,2,2
candidates,0,2,2
candy,0,2,2
canelo,0,1,1
cannabis,0,1,1
cannot,0,17,17
canny,0,1,1
cant,0,15,15
capability,0,1,1
capable,0,2,2
capacity,1,2,3
caper,0,1,1
capital,0,5,5
capitalism,0,1,1
capitalist,0,2,2
capitalize,0,1,1
capitol,0,1,1
capped,0,1,1
captain,1,1,2
caption,0,1,1
capture,1,1,2
captured,0,1,1
car,1,7,8
carbontax,0,1,1
card,1,5,6
cardi,1,3,4
cardinal,0,1,1
cards,1,1,2
care,5,70,75
cared,1,2,3
career,0,10,10
careful,0,5,5
cares,4,14,18
caring,0,2,2
carl,0,1,1
carmen,0,1,1
carnage,0,1,1
carol,0,1,1
carole,0,2,2
carrey,0,5,5
carried,0,2,2
carry,2,7,9
carrying,1,0,1
cars,1,2,3
carson,0,1,1
cart,0,2,2
carte,0,1,1
cartel,0,3,3
cartels,0,2,2
carter,0,3,3
cartoon,0,3,3
cartoons,0,2,2
casa,0,1,1
case,3,20,23
cases,0,2,2
casey,0,2,2
cash,1,4,5
cashier,0,1,1
cashing,0,3,3
casket,0,1,1
cast,0,1,1
casting,0,2,2
casually,0,1,1
cat,0,2,2
catalonia,0,1,1
catch,1,2,3
catches,0,1,1
catching,0,2,2
categorized,0,1,1
cater,0,2,2
catholic,1,7,8
catholics,0,3,3
catkiller,0,1,1
cats,0,1,1
catty,0,1,1
caucasian,0,1,1
caught,0,1,1
causality,2,0,2
cause,1,39,40
caused,0,3,3
causes,0,1,1
causing,0,3,3
cavaliers,0,1,1
cavanagh,0,1,1
cayde,0,1,1
caymans,0,1,1
cbc,0,4,4
cbs,0,3,3
ccot,0,2,2
cdc,0,1,1
cdnhist,0,1,1
cdnpoli,1,5,6
cealrly,0,1,1
cear,0,1,1
ceiling,0,1,1
celebrate,0,2,2
celebrates,0,1,1
celebrating,0,1,1
celebration,0,1,1
celebrities,0,3,3
celebrity,1,3,4
cell,0,3,3
cellar,0,1,1
cells,0,3,3
censor,0,2,2
censored,0,1,1
censoring,1,1,2
censorship,0,4,4
central,1,1,2
centrism,0,1,1
centrist,0,3,3
centrists,0,1,1
centuries,0,2,2
century,0,3,3
ceo,0,2,2
certain,0,7,7
certainly,1,5,6
cfo,0,1,1
ch,0,1,1
chained,0,1,1
chains,1,0,1
chair,0,3,3
chairs,0,1,1
challenge,1,1,2
challenged,0,1,1
challenger,0,1,1
challengers,0,1,1
chamber,0,2,2
champ,0,1,1
champagne,0,1,1
champion,0,1,1
championship,0,1,1
chance,1,11,12
chances,0,1,1
chandigarh,1,0,1
change,3,29,32
changed,0,5,5
changes,1,3,4
changing,1,3,4
channel,1,2,3
chant,0,2,2
chaos,0,3,3
chaplain,0,1,1
char,0,2,2
character,0,19,19
characterizing,0,1,1
charade,0,2,2
charge,2,9,11
charged,0,5,5
charges,0,4,4
charity,0,1,1
charlie,0,1,1
charms,0,1,1
charter,0,1,1
charts,1,1,2
chaser,0,1,1
chasing,0,2,2
chat,0,1,1
chats,1,0,1
chauffeur,0,1,1
cheap,0,7,7
cheapen,0,1,1
cheat,0,1,1
cheater,0,2,2
cheating,0,4,4
check,1,9,10
checked,0,3,3
checkmarks,0,1,1
checks,0,6,6
cheeks,0,1,1
cheepika,0,1,1
cheer,0,1,1
cheerleader,1,3,4
cheery,0,1,1
cheese,0,2,2
cheesy,0,1,1
chelsea,0,1,1
chemical,0,2,2
chequers,0,2,2
cher,0,3,3
cherry,0,1,1
cherrypicks,0,1,1
chess,0,2,2
chest,0,1,1
chewing,0,1,1
chicago,5,25,30
chicagodeathtoll,0,1,1
chicanery,0,1,1
chicken,2,4,6
chickens,0,2,2
chickenshit,1,0,1
chicks,0,1,1
chickschumer,0,1,1
chief,0,2,2
child,0,31,31
childhood,0,1,1
childish,0,2,2
children,3,22,25
chill,1,1,2
chin,0,1,1
china,0,9,9
chinese,1,4,5
chinless,0,1,1
chip,1,1,2
chips,0,1,1
chiselchest,0,1,1
chittlerings,0,1,1
chloe,0,1,1
chlorine,0,1,1
chocker,0,1,1
choice,1,6,7
choices,0,1,1
chokes,0,1,1
choking,0,1,1
choose,1,4,5
choosing,1,0,1
chop,0,1,1
chos,0,1,1
chose,1,2,3
chosen,0,4,4
choudary,1,0,1
chowing,0,1,1
chris,3,6,9
christ,1,7,8
christi,0,2,2
christian,1,7,8
christianity,0,1,1
christianmorals,0,1,1
christians,0,6,6
christinablaseyford,0,1,1
christine,0,3,3
christineblaseyford,0,2,2
christineblaseykavanaugh,0,1,1
christineford,0,1,1
christmas,0,3,3
chronicles,1,0,1
chuck,0,3,3
chuckchequers,0,1,1
chuckschumer,0,1,1
chuds,0,1,1
chunky,0,1,1
church,1,9,10
churches,0,2,2
cia,0,6,6
ciara,1,0,1
cider,0,1,1
cincinatti,0,1,1
cincinnati,0,1,1
cincy,0,1,1
cinnamon,0,1,1
circles,0,1,1
circulation,0,3,3
circumstance,0,1,1
circumstances,1,1,2
circus,0,3,3
cite,0,1,1
cities,0,9,9
citing,0,1,1
citizen,1,5,6
citizenry,0,1,1
citizens,1,27,28
citizenship,0,1,1
city,1,4,5
civil,0,9,9
civility,0,1,1
civilization,0,2,2
civilized,0,1,1
ck,1,3,4
cking,0,1,1
cks,0,1,1
claim,2,20,22
claiming,0,6,6
claims,0,12,12
clarence,1,2,3
clarencethomas,0,2,2
clarification,0,1,1
clarified,1,0,1
clarify,0,1,1
clarifying,0,1,1
clarita,0,1,1
clasping,0,1,1
class,2,14,16
classes,0,2,2
classic,0,2,2
classical,0,2,2
classified,0,1,1
classless,0,3,3
claustrophobic,0,1,1
clean,0,6,6
cleaned,1,0,1
cleaning,1,1,2
cleaningcanada,0,1,1
cleanse,0,1,1
cleansed,1,1,2
clear,2,17,19
clearance,0,2,2
clearly,1,15,16
cleavage,1,0,1
clergy,0,2,2
cleveland,0,1,1
clever,0,2,2
click,1,3,4
client,0,1,1
clients,0,1,1
climate,2,3,5
climb,0,1,1
climbing,0,1,1
climbs,0,1,1
cling,0,1,1
clinging,0,1,1
clinton,2,24,26
clip,0,1,1
clive,1,0,1
clock,1,0,1
clone,0,1,1
close,1,11,12
closely,0,1,1
closer,0,5,5
closernation,0,1,1
closes,1,0,1
closet,0,3,3
cloth,0,1,1
clothes,0,3,3
clout,0,1,1
clown,1,17,18
clownish,0,1,1
clowns,0,2,2
club,0,2,2
clue,1,4,5
clueless,1,6,7
cmon,0,1,1
cmos,0,1,1
cnn,1,18,19
co,0,3,3
coach,0,6,6
coaches,0,1,1
coaching,0,1,1
coal,0,1,1
coalition,0,3,3
coarse,0,2,2
coast,0,1,1
cock,1,5,6
cockroach,1,1,2
cockroaches,0,1,1
cocks,0,1,1
cocktribute,0,1,1
cocky,0,1,1
cod,0,1,1
code,1,3,4
codywilson,0,1,1
coffee,0,1,1
coffin,1,5,6
cognitive,0,1,1
cohen,0,1,1
coherent,0,1,1
cohort,1,0,1
coin,1,2,3
coincidence,0,1,1
cold,2,2,4
colin,0,2,2
collaborating,0,1,1
collapse,0,2,2
collar,0,1,1
colleague,0,1,1
collective,0,1,1
college,1,8,9
colleges,0,3,3
collins,0,6,6
collude,0,3,3
colluded,0,2,2
colluding,0,3,3
collusion,0,7,7
colombian,0,1,1
colon,0,1,1
colonel,1,0,1
color,0,9,9
colored,0,3,3
colour,0,1,1
columnist,0,1,1
comb,0,1,1
combat,0,1,1
combos,1,0,1
come,5,39,44
comeback,0,1,1
comedian,0,6,6
comedy,1,0,1
comes,3,17,20
comet,0,1,1
comey,0,3,3
comfort,0,1,1
comfortable,0,1,1
comforted,0,1,1
comic,0,1,1
comical,0,1,1
comie,0,1,1
comin,0,1,1
coming,2,30,32
command,0,1,1
commander,0,1,1
commending,0,1,1
comment,2,10,12
commentary,0,2,2
commenting,0,1,1
comments,1,12,13
commercial,0,2,2
commercials,0,1,1
commie,0,4,4
commies,0,4,4
commiessuck,0,1,1
commiserations,0,1,1
commissioner,0,1,1
commit,0,3,3
commiting,0,1,1
commits,0,1,1
committal,0,1,1
committed,0,7,7
committee,0,2,2
committing,1,1,2
common,3,20,23
communism,1,2,3
communist,1,14,15
communistic,0,1,1
communists,1,8,9
community,0,5,5
companies,0,3,3
company,0,6,6
compare,0,2,2
compared,1,2,3
compares,0,1,1
comparing,0,5,5
comparison,1,2,3
compassion,1,0,1
compete,1,1,2
competency,0,1,1
competing,0,2,2
competition,1,1,2
competitive,0,1,1
competitor,0,1,1
complacency,0,2,2
complain,0,6,6
complainant,0,1,1
complaining,2,6,8
complains,1,1,2
complete,0,20,20
completely,1,16,17
compliant,0,1,1
complicit,0,3,3
complicity,0,1,1
complied,0,1,1
compliment,0,1,1
comprehend,0,1,1
compromise,0,1,1
compromising,0,1,1
computer,0,2,2
computers,1,0,1
comrades,0,1,1
comstock,0,1,1
con,0,3,3
conceal,0,1,1
concealed,0,2,2
concentration,0,2,2
concept,1,0,1
concern,0,2,2
concerned,1,5,6
concerns,0,2,2
concert,0,5,5
concerts,0,2,2
conclusions,0,2,2
concocted,0,1,1
concrete,0,2,2
condemn,0,2,2
condemning,0,2,2
condescending,0,1,1
condition,0,1,1
conditions,0,1,1
condom,0,1,1
condone,0,1,1
conduct,0,1,1
conducting,0,1,1
coney,0,1,1
conf,0,2,2
confederacy,0,1,1
conference,0,1,1
confession,0,1,1
confirm,0,4,4
confirmation,0,14,14
confirmations,0,1,1
confirmcoachk,0,1,1
confirmed,1,5,6
confirming,0,1,1
confirmjudgekavanaugh,0,3,3
confirmjudgekavanaughnow,0,1,1
confirmkavanaugh,1,12,13
confirmkavanaughnow,1,3,4
confirmkavenaugh,0,1,1
confirms,0,1,1
confiscation,0,1,1
conflict,0,1,1
conflicted,0,2,2
confronting,0,1,1
confuse,0,1,1
confused,0,2,2
congrats,0,2,2
congratulaions,0,1,1
congratulations,0,1,1
congress,0,14,14
congressional,1,2,3
congressman,0,3,3
congressmen,0,1,1
congresswoman,0,1,1
conjure,0,1,1
connect,0,1,1
connected,0,3,3
connecticut,0,2,2
connection,0,3,3
connections,0,3,3
conner,1,0,1
conners,0,1,1
conniving,0,1,1
connors,0,1,1
conquer,0,1,1
cons,0,1,1
conscience,0,2,2
conscious,0,1,1
consciousness,1,0,1
consensus,0,1,1
consequences,0,4,4
conservatards,0,1,1
conservatism,0,1,1
conservative,2,27,29
conservatives,20,250,270
consider,1,10,11
considered,1,7,8
considering,0,5,5
consist,1,2,3
consistant,1,0,1
consistency,0,1,1
consistent,0,1,1
consistently,0,2,2
console,3,0,3
conspiracy,1,2,3
conspiratorial,0,1,1
conspired,0,1,1
constant,1,3,4
constantly,0,6,6
consternation,0,1,1
constipated,0,1,1
constituents,0,2,2
constitution,0,19,19
constitutional,0,7,7
construction,0,1,1
constructive,0,1,1
consult,0,1,1
consumers,0,1,1
contact,0,1,1
contacted,0,1,1
contain,0,1,1
contaminated,0,1,1
contempt,0,6,6
contemptuous,0,1,1
contents,0,1,1
contest,0,1,1
context,0,1,1
continent,0,1,1
continual,0,1,1
continually,0,1,1
continue,2,15,17
continued,0,1,1
continues,0,3,3
contraceptives,0,1,1
contracts,0,1,1
contradict,0,1,1
contradiction,0,1,1
contradictions,0,1,1
contravention,0,1,1
contribute,0,1,1
contributed,0,3,3
contribution,0,1,1
control,58,394,452
controlled,1,6,7
controlling,0,4,4
controls,0,1,1
controversal,0,1,1
controversy,0,3,3
convenient,0,4,4
conversation,1,6,7
conversations,0,3,3
conversely,1,0,1
convict,0,1,1
convicted,0,2,2
convince,0,2,2
convinced,1,1,2
convincing,1,0,1
convo,0,1,1
conway,0,2,2
coo,0,2,2
coochie,0,1,1
cook,0,1,1
cooked,0,1,1
cookies,0,2,2
cooking,0,2,2
cooks,0,1,1
cool,1,8,9
coons,0,1,1
coont,1,0,1
cooper,0,2,2
cop,1,2,3
copped,0,1,1
cops,2,15,17
copying,0,1,1
corbin,0,1,1
corbyn,0,2,2
cordial,0,1,1
core,0,2,2
corey,0,1,1
corn,1,0,1
corner,0,3,3
corp,0,1,1
corporate,0,3,3
corporatewelfare,0,1,1
corporation,0,1,1
corporations,0,1,1
corpus,0,2,2
corralled,0,1,1
correct,1,16,17
correcting,1,0,1
correction,0,1,1
correctly,1,1,2
correlation,0,2,2
corrente,0,2,2
corroboration,1,0,1
corrupt,2,32,34
corrupted,0,2,2
corrupting,0,1,1
corruption,2,16,18
corrupts,0,1,1
cortez,0,1,1
cory,0,2,2
cos,0,1,1
cosign,0,1,1
cosnstitution,0,1,1
cost,0,3,3
costanza,0,1,1
costs,0,4,4
couch,1,0,1
couches,0,1,1
cough,2,0,2
could,9,79,88
couldn,0,9,9
couldnt,0,3,3
couldve,0,1,1
coulter,0,1,1
councils,0,2,2
count,0,4,4
counted,1,1,2
counter,1,4,5
counterparts,0,1,1
counties,0,1,1
counting,0,1,1
countless,0,1,1
countries,3,12,15
country,8,92,100
countryoverparty,0,1,1
county,0,5,5
coup,1,4,5
couple,1,4,5
coupled,0,1,1
couples,0,1,1
courage,0,2,2
courageous,1,1,2
course,1,17,18
court,4,23,27
courted,0,1,1
courtroom,0,1,1
courts,0,3,3
cousin,0,1,1
cover,0,8,8
coverage,0,3,3
covered,0,5,5
covering,0,7,7
covers,0,1,1
coverup,0,1,1
covet,0,1,1
cow,0,3,3
coward,0,21,21
cowardly,0,1,1
cowards,0,6,6
cowboys,0,1,1
cowherd,0,1,1
coworker,0,1,1
cows,0,1,1
cox,0,1,1
coz,2,2,4
cpc,0,1,1
crabcakes,0,1,1
crack,0,1,1
cracked,0,1,1
crackers,2,0,2
crackhead,1,0,1
crackheads,0,3,3
crackpots,0,1,1
cradle,0,1,1
craft,1,0,1
crafted,0,1,1
craley,0,1,1
crap,2,38,40
crapper,0,1,1
crappy,0,3,3
craps,0,1,1
crash,2,0,2
crashes,0,1,1
crate,0,1,1
craven,0,1,1
craves,0,1,1
crawl,0,2,2
crazed,0,1,1
crazies,0,2,2
craziest,0,1,1
craziness,0,1,1
crazy,3,58,61
crazymaxine,0,1,1
create,1,13,14
created,1,6,7
creates,0,2,2
creating,0,2,2
creative,0,1,1
creature,0,1,1
creatures,0,1,1
cred,1,0,1
credibility,0,7,7
credible,0,7,7
credit,1,6,7
creed,0,1,1
creep,0,4,4
creepier,0,1,1
creeps,0,1,1
creepy,1,4,5
creepyjoebiden,0,1,1
crew,1,1,2
crib,0,1,1
cried,0,1,1
crime,7,25,32
crimenews,0,1,1
crimes,1,15,16
crimesyndicate,0,1,1
criminal,1,22,23
criminally,0,1,1
criminals,3,21,24
criminalsoutofnumber10,0,1,1
cringe,1,0,1
cringeworthy,0,1,1
crisis,0,7,7
crispy,0,1,1
critically,0,1,1
criticism,0,5,5
criticizes,0,1,1
criticizing,0,1,1
critique,0,3,3
croatian,0,1,1
crock,0,1,1
crocodile,0,2,2
croft,0,1,1
cronies,1,4,5
croocked,0,1,1
crook,1,8,9
crooked,0,7,7
crookedhillary,0,2,2
crookedmedia,0,1,1
crooks,0,1,1
crossed,1,3,4
crossers,0,1,1
crossing,0,1,1
crow,0,1,1
crowbar,0,1,1
crowd,1,7,8
crowing,0,1,1
crowther,0,1,1
crucial,0,1,1
crucify,0,1,1
crud,0,1,1
crude,0,1,1
cruel,0,1,1
crumbs,0,2,2
crush,1,4,5
crushes,0,1,1
crusts,0,1,1
cruz,0,11,11
cry,2,10,12
crybabies,0,1,1
crybaby,1,2,3
crying,1,9,10
crypt,0,1,1
cs,1,0,1
cthulhu,1,0,1
cuba,0,1,1
cube,0,1,1
cuck,0,2,2
cud,0,1,1
culling,0,1,1
culo,0,1,1
cult,1,2,3
cult45politburo,0,1,1
cultists,0,1,1
cultural,0,1,1
culturally,0,1,1
culture,0,8,8
cultures,0,1,1
cum,0,1,1
cumm,1,0,1
cumming,0,1,1
cumslave,0,1,1
cumtribute,0,1,1
cunt,0,6,6
cunts,0,1,1
cuomo,1,0,1
cupcakes,1,0,1
curb,0,1,1
curious,0,3,3
current,0,6,6
currently,0,1,1
curriculum,0,4,4
curtis,0,1,1
cus,0,1,1
custody,0,2,2
customer,0,1,1
customs,0,1,1
cut,1,12,13
cute,4,10,14
cuter,0,1,1
cutest,0,1,1
cutsie,0,1,1
cutting,0,1,1
cuuuuuks,0,1,1
cuz,3,5,8
cville,0,1,1
cy,1,0,1
cya,0,1,1
cyberpunk,0,1,1
cycle,0,2,2
cyclones,0,1,1
da,0,6,6
daca,1,0,1
dad,0,6,6
daddy,0,7,7
dads,0,1,1
daily,1,9,10
dale,0,1,1
dalit,0,1,1
dallas,0,4,4
dam,0,4,4
damage,0,2,2
damages,0,1,1
dammit,1,0,1
damn,9,33,42
damned,0,1,1
damsel,0,2,2
dan,0,3,3
dana,1,3,4
dance,0,2,2
dancer,0,1,1
dancing,0,1,1
dang,0,2,2
danger,0,2,2
dangerous,0,20,20
dangerousdemocrats,0,1,1
dangerously,0,1,1
daniels,0,2,2
danikaharrod,0,1,1
darcy,0,1,1
dare,1,10,11
dark,0,1,1
darkest,0,1,1
darktolight,0,1,1
darling,0,1,1
dash,0,1,1
dat,0,1,1
data,2,3,5
date,1,7,8
dates,0,1,1
dating,2,1,3
daughter,1,11,12
daughters,1,6,7
daveb,0,1,1
daves,0,1,1
david,0,9,9
davido,0,2,2
davis,0,1,1
dawn,0,1,1
day,4,33,37
days,3,17,20
dbl,0,1,1
dc,1,9,10
dccircuit,0,1,1
dceu,0,1,1
dcrats,0,1,1
de,0,2,2
dead,5,26,31
deadname,1,0,1
deaf,0,1,1
deal,4,20,24
dealer,0,1,1
dealers,0,2,2
dealing,0,4,4
deals,2,8,10
dean,0,1,1
dear,0,5,5
dearly,1,0,1
dearprofessorford,0,1,1
death,3,36,39
deathbed,0,1,1
deathpenalty,0,1,1
deaths,0,5,5
debacle,0,1,1
debate,2,9,11
debates,0,1,1
debating,0,2,2
debt,1,2,3
debunked,0,4,4
decade,1,1,2
decades,4,9,13
decapitated,0,1,1
decay,0,1,1
deceased,0,1,1
deceive,0,1,1
deceiver,0,2,2
deceives,0,1,1
deceiving,0,1,1
december,0,1,1
decency,0,5,5
decent,1,10,11
deception,0,1,1
deceptive,0,1,1
decide,0,9,9
decided,1,3,4
decides,0,1,1
decision,0,4,4
decisions,0,4,4
declaration,0,1,1
declare,0,1,1
declared,0,2,2
declaring,0,1,1
declass,0,1,1
declassifyfisa,0,2,2
declassifypowsdocuments,0,1,1
declassifyrelease302sunredacted,0,1,1
decline,1,0,1
declined,0,1,1
decorated,0,1,1
decrease,0,1,1
decreased,0,1,1
decriminalizing,0,1,1
dedicated,0,2,2
deeds,0,2,2
deemed,0,1,1
deep,3,15,18
deeper,0,1,1
deeply,0,2,2
deepstate,0,3,3
deepstatecorruption,0,1,1
deepstatepanic,0,1,1
def,1,3,4
defamation,0,1,1
default,0,1,1
defeat,0,2,2
defeated,0,3,3
defeatism,0,1,1
defence,0,1,1
defend,0,16,16
defended,0,1,1
defender,0,1,1
defending,0,8,8
defends,0,1,1
defense,1,5,6
defenseless,0,3,3
defensive,0,1,1
defensively,0,1,1
deficit,0,1,1
defied,1,0,1
defined,1,1,2
definetly,0,1,1
definitely,3,10,13
definition,0,3,3
deflect,0,3,3
deflecting,0,1,1
defo,1,0,1
defundpbs,0,1,1
degenerate,0,1,1
degenerated,0,1,1
degree,0,1,1
degrom,1,0,1
dehumanize,0,1,1
delay,0,7,7
delayed,0,1,1
delaying,0,1,1
deleiver,0,1,1
delete,0,2,2
deleting,0,1,1
deletion,0,1,1
deliberate,0,2,2
deliberately,0,3,3
delicious,1,0,1
delirious,0,1,1
deliver,1,0,1
delivery,0,1,1
deluded,0,2,2
delusion,0,1,1
delusional,2,12,14
dem,0,15,15
demagogues,0,1,1
demand,0,7,7
demanding,0,2,2
demands,0,1,1
demdirtytrick,0,1,1
demented,0,5,5
dementia,0,2,2
demise,0,1,1
demo,0,1,1
democ,0,1,1
democommunists,0,1,1
democracy,1,10,11
democrat,3,35,38
democrate,0,1,1
democratic,1,23,24
democrats,4,131,135
democratsaredangerous,1,0,1
democratsdividinganddestroyingamerica,0,1,1
democratshateamerica,1,2,3
demographics,0,2,2
demolish,0,1,1
demon,0,5,5
demoncraps,0,1,1
demoncratic,0,1,1
demonic,0,3,3
demonize,0,2,2
demonrat,0,1,1
demonrats,0,5,5
demons,0,5,5
demonstrate,0,1,1
demoralize,0,1,1
demorats,0,1,1
demoted,0,1,1
dems,0,37,37
demsaredangerous,0,1,1
demsuck,0,1,1
denial,1,0,1
denied,0,2,2
denies,0,1,1
denigrate,0,1,1
dennys,0,1,1
denounce,0,4,4
denounced,0,2,2
denouncing,0,2,2
dense,0,1,1
dental,0,1,1
dentists,0,1,1
denuclearization,0,1,1
denuclearizing,1,0,1
deny,0,4,4
denying,0,4,4
denys,1,0,1
department,0,8,8
departments,0,1,1
depend,0,1,1
depends,0,2,2
deplorable,1,9,10
deplorables,0,3,3
deport,1,1,2
deportation,0,1,1
deported,1,1,2
deporting,0,2,2
deprecating,1,0,1
depressing,0,1,1
depression,2,1,3
dept,0,1,1
depts,0,1,1
derail,0,3,3
deranged,0,7,7
derangement,0,2,2
deregionised,0,1,1
deregulation,1,0,1
derivative,0,1,1
derrick,0,1,1
dershowitz,0,1,1
desanctis,0,1,1
desantis,0,1,1
descended,0,1,1
descent,0,1,1
describe,1,2,3
describes,0,2,2
describing,0,1,1
description,0,2,2
desensitize,0,1,1
deserve,3,8,11
deserved,1,4,5
deserves,0,7,7
designated,0,1,1
designed,2,1,3
designers,0,1,1
desire,0,1,1
desired,1,0,1
desires,0,2,2
desk,0,1,1
desperate,0,11,11
desperately,0,4,4
desperation,0,3,3
despicable,3,13,16
despicably,0,1,1
despise,0,2,2
despite,0,6,6
despondent,0,1,1
desrerved,0,1,1
desths,1,0,1
destiny,0,1,1
destriment,0,1,1
destroy,1,28,29
destroyed,0,9,9
destroying,0,8,8
destroysovereignusa,1,0,1
destruction,0,1,1
destructive,0,1,1
detail,1,2,3
detailed,0,1,1
details,0,3,3
detained,0,1,1
detect,1,0,1
detectives,1,0,1
detector,0,1,1
detectors,0,1,1
deter,0,1,1
deterioration,0,1,1
determine,0,2,2
determined,0,3,3
detest,0,2,2
detriment,0,1,1
detroit,0,1,1
devaluing,0,1,1
devastated,0,1,1
devastating,0,1,1
develop,0,1,1
developed,0,2,2
developing,0,1,1
deviancy,0,1,1
deviants,0,1,1
devil,0,11,11
devils,0,3,3
devin,0,1,1
dexades,0,1,1
dey,0,3,3
dez,0,1,1
dhanya,0,1,1
dharmic,0,1,1
di,1,0,1
diabetics,0,1,1
diamond,0,1,1
dianefeinstein,0,1,1
dianne,1,2,3
diaper,0,1,1
diarrhea,0,2,2
diatribe,0,1,1
dick,3,20,23
dickdurbin,1,0,1
dickface,0,1,1
dickhead,0,1,1
dickmatized,0,1,1
dickweed,0,1,1
dictate,0,2,2
dictator,0,4,4
dictators,0,1,1
dictatorship,0,3,3
dictionary,0,3,3
did,12,102,114
didn,8,62,70
didnt,0,8,8
die,2,17,19
died,2,17,19
dies,0,2,2
difference,2,7,9
different,3,19,22
differentiate,0,1,1
differently,1,2,3
difficult,0,2,2
dig,0,5,5
diggers,0,1,1
digging,0,1,1
digital,1,0,1
digits,0,1,1
dignify,1,0,1
dignity,0,1,1
digusting,0,1,1
dildo,0,3,3
dildos,0,1,1
dillusional,1,0,1
dilution,0,1,1
dime,0,2,2
dimensional,0,1,1
diminish,0,2,2
dimly,0,1,1
dimon,0,1,1
dimwit,0,1,1
diners,0,1,1
ding,0,1,1
dinner,0,2,2
dinosaur,0,1,1
dint,0,1,1
dip,0,2,2
dipfuck,0,1,1
diplomat,0,1,1
dipshit,0,3,3
dipshits,0,3,3
direct,0,3,3
directed,0,3,3
directly,0,1,1
director,0,2,2
dirt,0,5,5
dirtbag,0,1,1
dirty,1,18,19
dirtytricks,0,1,1
disabilityrights,0,1,1
disabled,0,5,5
disagree,1,9,10
disagreed,0,1,1
disagreeing,0,1,1
disagreement,0,1,1
disagreements,0,1,1
disagrees,0,1,1
disappear,0,3,3
disappointed,2,4,6
disappointment,0,1,1
disapproval,0,1,1
disarm,0,4,4
disarmharrisnow,0,1,1
disarmthem,1,1,2
disaster,0,2,2
disclaimer,0,1,1
disco,0,1,1
discontent,0,1,1
discontents,0,1,1
discovered,0,3,3
discovery,1,0,1
discredit,1,4,5
discredited,0,1,1
discreet,0,1,1
discriminate,0,1,1
discriminating,0,1,1
discrimination,0,1,1
discuss,0,1,1
discussed,0,1,1
discussing,0,1,1
discussion,0,4,4
discussions,0,2,2
disease,0,1,1
diseases,0,1,1
disgrace,0,32,32
disgraceful,0,7,7
disgruntled,0,1,1
disguised,0,1,1
disgusted,0,2,2
disgusting,5,58,63
dish,0,2,2
dishonest,0,6,6
dishonored,0,1,1
disinfectant,1,0,1
dislike,0,4,4
disliked,0,1,1
dismembered,1,0,1
dismissed,0,1,1
dismissive,0,1,1
disney,0,1,1
disorder,0,6,6
displacing,0,1,1
display,0,2,2
displayed,1,1,2
displaying,0,1,1
displays,1,1,2
disposable,0,1,1
dispute,0,1,1
disputed,0,1,1
disqualify,0,1,1
disregard,0,2,2
disrespect,0,4,4
disrespected,0,1,1
disrespectful,0,4,4
diss,0,1,1
dissapointing,0,1,1
dissent,0,1,1
dissenting,0,1,1
disservice,0,1,1
distant,0,1,1
distorting,0,1,1
distorts,0,1,1
distract,0,2,2
distracted,0,2,2
distractification,0,1,1
distracting,0,1,1
distraction,0,1,1
distracts,0,1,1
distress,0,1,1
district,0,4,4
disturbed,0,4,4
disturbing,0,1,1
dive,0,2,2
diversion,0,1,1
diversity,0,1,1
divert,0,1,1
diverting,0,2,2
divide,0,6,6
divided,0,2,2
divider,0,1,1
dividing,1,1,2
divine,0,1,1
division,0,3,3
divisive,0,2,2
divorce,0,1,1
divorced,0,1,1
dixiecrats,0,1,1
dj,0,1,1
djsjsjjs,0,1,1
djt,1,2,3
djt2,0,1,1
dlc,0,1,1
dle,1,0,1
dmed,1,0,1
dna,0,1,1
dnc,0,8,8
dns,0,1,1
do,31,311,342
doable,0,1,1
doc,0,1,1
docs,0,4,4
doctor,0,1,1
doctors,0,1,1
doctrine,0,1,1
document,1,1,2
documentary,0,1,1
documents,0,6,6
dodge,0,1,1
dodged,0,1,1
dodgers,0,1,1
dodgy,0,1,1
does,8,89,97
doesn,11,78,89
doesnt,1,10,11
dog,1,17,18
doggie,0,1,1
dogs,0,6,6
doin,0,1,1
doing,8,67,75
doings,0,2,2
doit,1,0,1
doj,1,5,6
dollar,1,1,2
dollars,1,6,7
dolls,0,1,1
dolt,0,1,1
dolts,0,1,1
domestic,3,8,11
dominos,0,1,1
domme,1,0,1
domo,1,0,1
don,29,297,326
donald,0,14,14
donaldtrump,0,1,1
donate,0,1,1
donates,0,1,1
donating,0,1,1
donation,0,1,1
done,1,52,53
dong,0,1,1
donkey,0,1,1
donkeys,0,1,1
donna,0,1,1
donnie,0,2,2
donny,0,1,1
donor,0,1,1
donors,0,1,1
dont,9,28,37
donuts,1,0,1
doomed,0,2,2
doomfist,0,1,1
door,1,5,6
doors,0,1,1
dope,1,9,10
dopes,0,1,1
dopest,1,0,1
dopey,0,1,1
dorinda,0,1,1
dorsey,0,1,1
dos,0,1,1
dosomthing,0,1,1
dottering,0,1,1
double,2,8,10
doubles,1,0,1
doublestandarddems,0,1,1
doubling,0,2,2
doubt,1,14,15
douche,0,2,2
douchebag,0,1,1
doug,0,1,1
dougford,0,1,1
dow,0,1,1
down,10,67,77
downfall,0,1,1
downhill,0,1,1
